Time,Open,High,Low,Last,Change,Volume
09/30/2020,10758.54,10861.41,10665.76,10759.19,0.65,18966
09/29/2020,10870.04,10890.56,10643.92,10758.54,-111.4,22453
09/28/2020,10717.21,10948.75,10600.35,10869.94,152.38,19858
09/25/2020,10633.44,10788.86,10565.9,10717.56,84.12,27492
09/24/2020,10232.18,10712.24,10204.25,10633.44,401.1,27932
09/23/2020,10516.85,10575.2,10146.79,10232.34,-284.51,24222
09/22/2020,10480.15,10535.24,10367.79,10516.85,36.89,20855
09/21/2020,10889.71,11171.5,10324.7,10479.96,-409.54,64813
09/18/2020,10941.92,11033.58,10821.49,10889.5,-52.24,19685
09/17/2020,10996.6,11043.01,10755.58,10941.74,-54.9,24400
09/16/2020,10865.5,11098.41,10672.79,10996.64,130.39,31414
09/15/2020,10692.27,10937.27,10628.53,10866.25,173.98,31941
09/14/2020,10330.06,10753.51,10219.66,10692.27,362.23,30510
09/11/2020,10304.29,10379.33,10212.02,10330.04,25.76,19755
09/10/2020,10260.91,10487.96,10184.43,10304.28,43.44,32629
09/09/2020,10015.78,10348.02,9858.94,10260.84,245.06,31958
09/08/2020,10148.45,10439.3,9932.65,10015.78,-132.66,38548
09/07/2020,10604.49,10628.55,9884.18,10148.44,-455.92,33051
09/04/2020,10785.88,10800.65,9960.82,10604.36,-181.52,85905
09/03/2020,11374.55,11451.58,10511.85,10785.88,-588.67,67327
09/02/2020,12021.28,12056.17,11221.57,11374.55,-646.17,52740
09/01/2020,11678.25,12060.58,11554.71,12020.72,342.47,35830
08/31/2020,11500.22,11776.19,11435.05,11678.25,175.61,21052
08/28/2020,11263.41,11549.05,11254.58,11502.64,239.23,24892
08/27/2020,11511.86,11589.42,11133.49,11263.41,-248.45,34782
08/26/2020,11269.62,11540.21,11258.31,11511.86,242.24,22838
08/25/2020,11728.86,11786.89,11126.87,11269.62,-459.24,35710
08/24/2020,11623.34,11825.31,11380.38,11728.86,78.79,16282
08/21/2020,11863.53,11884.41,11614.56,11650.07,-213.99,31279
08/20/2020,11716.63,11891.88,11681.12,11864.06,147.43,23171
08/19/2020,12032.02,12097.92,11617.32,11716.63,-314.74,43466
08/18/2020,12322.48,12405.51,11846.3,12031.37,-291.11,47952
08/17/2020,11792.43,12476.88,11704,12322.48,550.88,85730
08/14/2020,11630.87,11856.97,11630.87,11771.6,140.73,36807
08/13/2020,11571.15,11659.09,11280.98,11630.87,59.72,30205
08/12/2020,11195.81,11620.25,11141.87,11571.15,373.6,34673
08/11/2020,11859.05,11936.85,11139.23,11197.55,-661.51,49854
08/10/2020,11573.42,12073.09,11533.37,11859.06,284.88,48186
08/07/2020,11859.61,11911.65,11356.23,11574.18,-285.43,53171
08/06/2020,11692.86,11909.66,11568.07,11859.61,166.74,43976
08/05/2020,11217.31,11724.92,11109.49,11692.87,475.56,32935
08/04/2020,11380.92,11410.68,11044.15,11217.31,-163.61,31961
08/03/2020,11348.12,12101.63,10661.65,11380.92,32.8,47604
07/31/2020,11152.88,11455.24,10982.22,11348.12,195.31,42991
07/30/2020,11223.06,11349.05,10867.84,11152.81,-70.98,39051
07/29/2020,10982.32,11295.61,10856.63,11223.79,242.82,49085
07/28/2020,10879.59,11382.25,10590.36,10980.97,101.38,162758
07/27/2020,9628.27,10905.53,9534.71,10879.59,1251.31,124763
07/24/2020,9590.67,9633.15,9478.59,9628.28,37.62,23946
07/23/2020,9376.62,9665.85,9370.19,9590.66,214.04,70321
07/22/2020,9377.46,9399.83,9296.97,9376.62,-0.85,17716
07/21/2020,9176.8,9435.83,9155.59,9377.47,200.67,28527
07/20/2020,9157.87,9234.62,9113.49,9176.8,18.93,15535
07/17/2020,9105.27,9181.17,9083.15,9157.87,52.72,16975
07/16/2020,9213.04,9230.61,9037.31,9105.15,-107.89,24930
07/15/2020,9274.5,9278.5,9160.91,9213.04,-61.45,18028
07/14/2020,9247.74,9278.14,9126.81,9274.49,26.75,20960
07/13/2020,9233.74,9341.74,9168.57,9247.74,14.01,20686
07/10/2020,9239.66,9257.22,9130.18,9233.73,-5.93,17413
07/09/2020,9431.7,9469.14,9170.25,9239.66,-192.22,25413
07/08/2020,9255.85,9472.81,9233.09,9431.88,176.23,27910
07/07/2020,9278.9,9376.68,9208.77,9255.65,-23.25,21314
07/06/2020,9092.85,9352.89,8934.94,9278.9,186.05,28166
07/03/2020,9083.53,9146.72,9059.59,9092.85,9.36,16602
07/02/2020,9239.49,9264.51,8952.36,9083.49,-156.01,29029
07/01/2020,9147.06,9298.23,9096.22,9239.5,92.44,21233
06/30/2020,9182.33,9235.36,9064.17,9147.06,-35.27,18097
06/29/2020,9192.46,9206.5,8848.18,9182.33,-10.66,36135
06/26/2020,9277.89,9328.97,9039.4,9192.99,-84.9,32279
06/25/2020,9290.51,9316.93,9010.34,9277.89,-12.59,58813
06/24/2020,9631.86,9665.03,9212.66,9290.48,-341.68,38517
06/23/2020,9655.95,9781.36,9581.86,9632.16,-23.55,28448
06/22/2020,9316.43,9664.79,9191.16,9655.71,339.52,26567
06/19/2020,9328.07,9419.42,9235.87,9316.19,-15.36,23805
06/18/2020,9374.29,9479.86,9316.32,9331.55,-40.66,18283
06/17/2020,9494.75,9552.3,9246.67,9372.21,-122.74,25277
06/16/2020,9483.34,9586.36,9383.16,9494.95,11.61,31092
06/15/2020,9463.33,9490.54,8912.17,9483.34,20.01,85471
06/12/2020,9345.47,9544.28,9238.79,9463.33,119.12,33935
06/11/2020,9869.42,9961.74,9096.88,9344.21,-525.21,78045
06/10/2020,9751.39,9998.98,9714.86,9869.42,118.01,37264
06/09/2020,9702.36,9881.52,9603.25,9751.41,49.06,28920
06/08/2020,9714.69,9806.88,9409.76,9702.35,-12.11,22383
06/05/2020,9786.16,9855.47,9620.17,9714.46,-71.7,31850
06/04/2020,9582.72,9876.75,9471.61,9786.16,203.44,37522
06/03/2020,9523.19,9635.59,9426.31,9582.72,59.54,28707
06/02/2020,9693.2,10359.58,9340.02,9523.18,-170.02,197105
06/01/2020,9416.4,9734.65,9332.33,9693.2,276.8,27817
05/29/2020,9448.09,9616.02,9344.93,9416.4,-31.43,36482
05/28/2020,9165.17,9528.46,9058.34,9447.83,282.66,43167
05/27/2020,8863.72,9217.03,8807.22,9165.17,301.92,31811
