Time,Open,High,Low,Last,Change,Volume
09/30/2020,1.17425,1.17547,1.16848,1.17309,-0.00115,167943
09/29/2020,1.1665,1.1745,1.1661,1.17424,0.00774,193717
09/28/2020,1.16213,1.16797,1.16151,1.1665,0.00354,187734
09/25/2020,1.16688,1.16847,1.16127,1.16296,-0.00394,211829
09/24/2020,1.16597,1.16867,1.16265,1.1669,0.00093,247053
09/23/2020,1.17076,1.17186,1.16513,1.16597,-0.0048,240828
09/22/2020,1.17698,1.17733,1.16921,1.17077,-0.00629,242256
09/21/2020,1.18418,1.18713,1.17318,1.17706,-0.00679,235699
09/18/2020,1.18473,1.18701,1.18268,1.18385,-0.00089,196063
09/17/2020,1.18156,1.18521,1.17377,1.18474,0.00317,251226
09/16/2020,1.18459,1.18819,1.1788,1.18157,-0.00301,226956
09/15/2020,1.18623,1.19,1.18396,1.18458,-0.0017,176314
09/14/2020,1.18343,1.18876,1.1832,1.18628,0.00167,161349
09/11/2020,1.1814,1.18735,1.18115,1.18461,0.00322,203140
09/10/2020,1.18026,1.19162,1.17977,1.18139,0.00112,261474
09/09/2020,1.17729,1.18326,1.1753,1.18027,0.00297,229806
09/08/2020,1.1813,1.18273,1.17658,1.1773,-0.004,248366
09/07/2020,1.18449,1.18485,1.1811,1.1813,-0.00247,143239
09/04/2020,1.18506,1.18651,1.17808,1.18377,-0.00133,239741
09/03/2020,1.18544,1.18643,1.1789,1.1851,-0.00033,247415
09/02/2020,1.19108,1.19285,1.18222,1.18543,-0.00567,237680
09/01/2020,1.19339,1.20099,1.19014,1.1911,-0.00242,267474
08/31/2020,1.18994,1.19659,1.18845,1.19352,0.00306,216536
08/28/2020,1.1821,1.19194,1.1811,1.19046,0.00834,260179
08/27/2020,1.183,1.19008,1.17631,1.18212,-0.00089,271942
08/26/2020,1.1834,1.1839,1.17728,1.18301,-0.0004,199398
08/25/2020,1.17875,1.18429,1.17838,1.18341,0.0047,208143
08/24/2020,1.17942,1.18494,1.17839,1.17871,-0.00092,183332
08/21/2020,1.18596,1.18827,1.17546,1.17963,-0.00634,228937
08/20/2020,1.18379,1.18684,1.18023,1.18597,0.00219,250308
08/19/2020,1.19305,1.19524,1.18305,1.18378,-0.00926,239033
08/18/2020,1.18685,1.19654,1.18643,1.19304,0.00614,220333
08/17/2020,1.18397,1.18806,1.18292,1.1869,0.00277,171033
08/14/2020,1.1813,1.18501,1.17821,1.18413,0.00282,186456
08/13/2020,1.17841,1.1864,1.17806,1.18131,0.00289,220141
08/12/2020,1.17396,1.18154,1.17109,1.17842,0.00445,242066
08/11/2020,1.17364,1.18069,1.17223,1.17397,0.00033,243663
08/10/2020,1.17903,1.18006,1.17352,1.17364,-0.00493,176685
08/07/2020,1.18766,1.18828,1.17554,1.17857,-0.0091,252056
08/06/2020,1.18627,1.19155,1.1818,1.18767,0.0014,253074
08/05/2020,1.18021,1.19048,1.17927,1.18627,0.00605,223501
08/04/2020,1.1762,1.18049,1.17211,1.18022,0.00403,220587
08/03/2020,1.17778,1.17959,1.16965,1.17619,-0.00131,234599
07/31/2020,1.18467,1.19082,1.17628,1.1775,-0.00718,299980
07/30/2020,1.17906,1.18479,1.1731,1.18468,0.00556,252637
07/29/2020,1.17145,1.18052,1.17126,1.17912,0.00763,230970
07/28/2020,1.17512,1.17733,1.16988,1.17149,-0.00363,252356
07/27/2020,1.16559,1.17809,1.16387,1.17512,0.00963,243390
07/24/2020,1.15957,1.16572,1.15811,1.16549,0.00592,231027
07/23/2020,1.15695,1.16263,1.15405,1.15957,0.00261,228791
07/22/2020,1.15265,1.16003,1.1507,1.15696,0.00432,248158
07/21/2020,1.14463,1.15396,1.14236,1.15264,0.00797,211963
07/20/2020,1.14133,1.14676,1.14025,1.14467,0.00189,195195
07/17/2020,1.13832,1.14434,1.1376,1.14278,0.00446,157496
07/16/2020,1.14108,1.14414,1.13704,1.13832,-0.00276,199925
07/15/2020,1.13988,1.14519,1.1391,1.14108,0.00116,201074
07/14/2020,1.13424,1.14085,1.13254,1.13992,0.00569,215157
07/13/2020,1.13023,1.13747,1.13008,1.13423,0.00429,181900
07/10/2020,1.12842,1.13246,1.12549,1.12994,0.00148,180740
07/09/2020,1.13294,1.13703,1.128,1.12846,-0.00448,217986
07/08/2020,1.12727,1.13509,1.12625,1.13294,0.00562,192719
07/07/2020,1.13073,1.13321,1.1259,1.12732,-0.00343,182857
07/06/2020,1.12448,1.1345,1.12408,1.13075,0.00603,165575
07/03/2020,1.12381,1.12517,1.12195,1.12472,0.00083,165406
07/02/2020,1.12505,1.13022,1.12235,1.12389,-0.00117,177531
07/01/2020,1.12331,1.12746,1.11851,1.12506,0.00175,178391
06/30/2020,1.12417,1.12615,1.11911,1.12331,-0.00086,187221
06/29/2020,1.12228,1.12875,1.12133,1.12417,0.00239,166331
06/26/2020,1.12169,1.1239,1.11953,1.12178,7.0E-5,166756
06/25/2020,1.12501,1.12593,1.11904,1.12171,-0.0033,221117
06/24/2020,1.13077,1.13256,1.12481,1.12501,-0.00576,211866
06/23/2020,1.126,1.13482,1.1233,1.13077,0.00476,242671
